标题,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
Effective C++,[美] Scott Meyers / 2011 / 电子工业出版社,9.5,https://book.douban.com/subject/5387403/,2017-10-31 20:43:35,5,,,public
人性的弱点,[美]戴尔·卡耐基 / 2015 / 北京联合出版公司,7.9,https://book.douban.com/subject/27114724/,2017-10-31 20:43:23,3,,,public
商业的本质,[美] 杰克·韦尔奇 [美] 苏茜·韦尔奇 / 2016 / 中信出版社,7.5,https://book.douban.com/subject/26743607/,2017-10-31 20:42:52,4,,,public
超级时间整理术,迈克尔•赫佩尔 (Michael Heppell) / 2012 / 人民邮电出版社,6.6,https://book.douban.com/subject/11523251/,2017-10-31 20:42:35,4,,,public
富爸爸穷爸爸实践篇（最新修订版）,Sichuan Literature and Art Publishing House / 2014 / Sichuan Literature and Art Publishing House,6.4,https://book.douban.com/subject/25816944/,2017-10-31 20:41:49,4,,,public
MySQL入门很简单,黄缙华 / 2011 / 清华大学出版社,7.4,https://book.douban.com/subject/5450806/,2017-10-31 20:41:33,5,,,public
Java编程思想 （第4版）,[美] Bruce Eckel / 2007 / 机械工业出版社,9.0,https://book.douban.com/subject/2130190/,2017-10-31 20:41:01,5,,,public
重构,[美]马丁•福勒（Martin Fowler） / 2015 / 人民邮电出版社,9.0,https://book.douban.com/subject/26575459/,2017-10-31 20:40:46,5,,,public
腾讯传,吴晓波 / 2017 / 浙江大学出版社,7.8,https://book.douban.com/subject/26929955/,2017-08-29 09:37:08,3,"互联网,腾讯,吴晓波",简要的介绍了腾讯的历史。。没啥特别的地方,public
人工智能,李开复 王咏刚 / 2017 / 文化发展出版社,7.2,https://book.douban.com/subject/27015112/,2017-07-15 14:18:18,5,"人工智能,AI",,public
Spring Cloud微服务实战,翟永超 / 2017 / 电子工业出版社,7.6,https://book.douban.com/subject/27025912/,2017-10-31 20:43:09,3,Spring,,public
浪潮之巅（第三版）（上下册）,吴军 / 2016 / 人民邮电出版社,9.2,https://book.douban.com/subject/26792439/,2017-06-22 18:59:08,4,"互联网,IT史",没有讲中国的互联网历史比较可惜，第二次看浪潮之巅了,public
